Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
1272,0,-1,0,0,0,0,0,0
1445,0,-1,0,0,0,0,0,0
1277,0,-1,0,0,0,0,0,0
2107,0,-1,0,0,0,0,0,0
1623,0,-1,0,0,0,0,0,0
789,0,-1,0,0,0,0,0,0
924,0,-1,0,0,0,0,0,0
949,0,-1,0,0,0,0,0,0
733,0,-1,0,0,0,0,0,0
2095,0,-1,0,0,0,0,0,0
1911,0,-1,0,0,0,0,0,0
1565,0,-1,0,0,0,0,0,0
2022,0,-1,0,0,0,0,0,0
58,0,-1,0,0,0,0,0,0
231,0,-1,0,0,0,0,0,0
608,0,-1,0,0,0,0,0,0
510,0,-1,0,0,0,0,0,0
662,0,-1,0,0,0,0,0,0
391,0,-1,0,0,0,0,0,0
510,0,-1,0,0,0,0,0,0
2139,0,-1,0,0,0,0,0,0
510,0,-1,0,0,0,0,0,0
594,0,-1,0,0,0,0,0,0
587,0,-1,0,0,0,0,0,0
2138,0,-1,0,0,0,0,0,0
513,0,-1,0,0,0,0,0,0
510,0,-1,0,0,0,0,0,0
488,0,-1,0,0,0,0,0,0
26,0,-1,0,0,0,0,0,0
1491,0,-1,0,0,0,0,0,0
751,0,-1,0,0,0,0,0,0
2155,0,-1,0,0,0,0,0,0
350,0,-1,0,0,0,0,0,0
488,0,-1,0,0,0,0,0,0
750,0,-1,0,0,0,0,0,0
488,0,-1,0,0,0,0,0,0
867,0,-1,0,0,0,0,0,0
862,0,-1,0,0,0,0,0,0
1045,0,-1,0,0,0,0,0,0
1713,0,-1,0,0,0,0,0,0
862,0,-1,0,0,0,0,0,0
594,0,-1,0,0,0,0,0,0
594,0,-1,0,0,0,0,0,0
1207,0,-1,0,0,0,0,0,0
1207,0,-1,0,0,0,0,0,0
1195,0,-1,0,0,0,0,0,0
208,0,-1,0,0,0,0,0,0
54,0,-1,0,0,0,0,0,0
2141,0,-1,0,0,0,0,0,0
1147,0,-1,0,0,0,0,0,0
518,0,-1,0,0,0,0,0,0
958,0,-1,0,0,0,0,0,0
1148,0,-1,0,0,0,0,0,0
1317,0,-1,0,0,0,0,0,0
1195,0,-1,0,0,0,0,0,0
1179,0,-1,0,0,0,0,0,0
1914,0,-1,0,0,0,0,0,0
1179,0,-1,0,0,0,0,0,0
1005,0,-1,0,0,0,0,0,0
1437,0,-1,0,0,0,0,0,0
1179,0,-1,0,0,0,0,0,0
1621,0,-1,0,0,0,0,0,0
1236,0,-1,0,0,0,0,0,0
1990,0,-1,0,0,0,0,0,0
1179,0,-1,0,0,0,0,0,0
453,0,-1,0,0,0,0,0,0
435,0,-1,0,0,0,0,0,0
239,0,-1,0,0,0,0,0,0
239,0,-1,0,0,0,0,0,0
239,0,-1,0,0,0,0,0,0
1857,0,-1,0,0,0,0,0,0
1561,0,-1,0,0,0,0,0,0
151,0,-1,0,0,0,0,0,0
230,0,-1,0,0,0,0,0,0
1207,0,-1,0,0,0,0,0,0
2016,0,-1,0,0,0,0,0,0
2016,0,-1,0,0,0,0,0,0
2016,0,-1,0,0,0,0,0,0
2018,0,-1,0,0,0,0,0,0
427,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
437,0,-1,0,0,0,0,0,0
439,0,-1,0,0,0,0,0,0
230,0,-1,0,0,0,0,0,0
224,0,-1,0,0,0,0,0,0
224,0,-1,0,0,0,0,0,0
587,0,-1,0,0,0,0,0,0
1207,0,-1,0,0,0,0,0,0
230,0,-1,0,0,0,0,0,0
725,0,-1,0,0,0,0,0,0
1107,0,-1,0,0,0,0,0,0
720,0,-1,0,0,0,0,0,0
1610,0,-1,0,0,0,0,0,0
720,0,-1,0,0,0,0,0,0
1108,0,-1,0,0,0,0,0,0
1107,0,-1,0,0,0,0,0,0
430,0,-1,0,0,0,0,0,0
617,0,-1,0,0,0,0,0,0
617,0,-1,0,0,0,0,0,0
617,0,-1,0,0,0,0,0,0
617,0,-1,0,0,0,0,0,0
2136,0,-1,0,0,0,0,0,0
711,0,-1,0,0,0,0,0,0
2228,0,-1,0,0,0,0,0,0
1069,0,-1,0,0,0,0,0,1
335,0,-1,0,0,0,0,0,1
244,0,-1,0,0,0,0,0,1
333,0,-1,0,0,0,0,0,1
488,0,-1,0,0,0,0,0,1
215,0,-1,0,0,0,0,0,1
1063,0,-1,0,0,0,0,0,1
1069,0,-1,0,0,0,0,0,1
1053,0,-1,0,0,0,0,0,1
332,0,-1,0,0,0,0,0,1
1072,0,-1,0,0,0,0,0,1
1084,0,-1,0,0,0,0,0,1
143,0,-1,0,0,0,0,0,1
2166,0,-1,0,0,0,0,0,1
1056,0,-1,0,0,0,0,0,1
1076,0,-1,0,0,0,0,0,1
1060,0,-1,0,0,0,0,0,1
1084,0,-1,0,0,0,0,0,1
1071,0,-1,0,0,0,0,0,1
1071,0,-1,0,0,0,0,0,1
243,0,-1,0,0,0,0,0,1
332,0,-1,0,0,0,0,0,1
243,0,-1,0,0,0,0,0,1
213,0,-1,0,0,0,0,0,1
332,0,-1,0,0,0,0,0,1
186,0,-1,0,0,0,0,0,1
1071,0,-1,0,0,0,0,0,1
213,0,-1,0,0,0,0,0,1
625,0,-1,0,0,0,0,0,1
298,0,-1,0,0,0,0,0,1
298,0,-1,0,0,0,0,0,1
1053,0,-1,0,0,0,0,0,1
1058,0,-1,0,0,0,0,0,1
532,0,-1,0,0,0,0,0,1
551,0,-1,0,0,0,0,0,1
2203,0,-1,0,0,0,0,0,1
2166,0,-1,0,0,0,0,0,1
549,0,-1,0,0,0,0,0,1
2131,0,-1,0,0,0,0,0,1
532,0,-1,0,0,0,0,0,1
237,0,-1,0,0,0,0,0,1
237,0,-1,0,0,0,0,0,1
237,0,-1,0,0,0,0,0,1
